"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"56","46.188.121.249",1418419880976,"34_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",5014,1,NA,42,"MVQ4",4,"stimulus.ejs"
"57","46.188.121.249",1418419891936,"35_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5764,1,NA,43,"MVQ4",4,"stimulus.ejs"
"58","46.188.121.249",1418419902715,"36_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,44,"MVQ4",4,"stimulus.ejs"
"59","46.188.121.249",1418419912957,"37_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,45,"MVQ4",4,"stimulus.ejs"
"60","46.188.121.249",1418419924127,"38_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,46,"MVQ4",4,"stimulus.ejs"
"61","46.188.121.249",1418419935336,"39_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5389,1,NA,47,"MVQ4",4,"stimulus.ejs"
"62","46.188.121.249",1418419945528,"40_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,48,"MVQ4",4,"stimulus.ejs"
"63","46.188.121.249",1418419956397,"41_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,49,"MVQ4",4,"stimulus.ejs"
"64","46.188.121.249",1418419966641,"42_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4694,1,NA,50,"MVQ4",4,"stimulus.ejs"
"65","46.188.121.249",1418419977040,"43_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4378,1,NA,51,"MVQ4",4,"stimulus.ejs"
"66","46.188.121.249",1418419987609,"44_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5357,1,NA,52,"MVQ4",4,"stimulus.ejs"
"67","46.188.121.249",1418419999974,"45_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,53,"MVQ4",4,"stimulus.ejs"
"68","46.188.121.249",1418420010077,"46_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4070,1,NA,54,"MVQ4",4,"stimulus.ejs"
"69","46.188.121.249",1418420020997,"47_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5378,1,NA,55,"MVQ4",4,"stimulus.ejs"
"70","46.188.121.249",1418420030495,"48_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,56,"MVQ4",4,"stimulus.ejs"
"71","46.188.121.249",1418420039706,"49_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,57,"MVQ4",4,"stimulus.ejs"
"72","46.188.121.249",1418420051206,"50_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,58,"MVQ4",4,"stimulus.ejs"
"73","46.188.121.249",1418420070237,"51_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5827,1,NA,59,"MVQ4",4,"stimulus.ejs"
"74","46.188.121.249",1418420081200,"52_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,60,"MVQ4",4,"stimulus.ejs"
"75","46.188.121.249",1418420098276,"53_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,61,"MVQ4",4,"stimulus.ejs"
"76","46.188.121.249",1418420108461,"54_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",6100,1,NA,62,"MVQ4",4,"stimulus.ejs"
"77","46.188.121.249",1418420118277,"55_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4662,1,NA,63,"MVQ4",4,"stimulus.ejs"
"78","46.188.121.249",1418420131907,"56_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5551,1,NA,64,"MVQ4",4,"stimulus.ejs"
"79","46.188.121.249",1418420142659,"57_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,65,"MVQ4",4,"stimulus.ejs"
"80","46.188.121.249",1418420160454,"58_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4462,1,NA,66,"MVQ4",4,"stimulus.ejs"
"81","46.188.121.249",1418420172184,"59_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",5368,1,NA,67,"MVQ4",4,"stimulus.ejs"
"82","46.188.121.249",1418420185521,"60_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,68,"MVQ4",4,"stimulus.ejs"
"83","46.188.121.249",1418420205443,"61_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,69,"MVQ4",4,"stimulus.ejs"
"84","46.188.121.249",1418420216991,"62_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,70,"MVQ4",4,"stimulus.ejs"
"85","46.188.121.249",1418420227859,"63_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",5713,1,NA,71,"MVQ4",4,"stimulus.ejs"
"86","46.188.121.249",1418420251656,"64_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",4638,1,NA,72,"MVQ4",4,"stimulus.ejs"
"87","46.188.121.249",1418420263546,"65_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,73,"MVQ4",4,"stimulus.ejs"
"88","212.186.190.138",1418429001167,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"VQZ5",5,"undefined"
"89","212.186.190.138",1418429051932,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"LBT6",6,"undefined"
"90","46.188.125.246",1418465912980,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"ZJO7",7,"undefined"
